Country.Name,units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Generation,Billion Kwh,0.056,0.059,0.062,0.068,0.071,0.072,0.081,0.085,0.086,0.088,0.089,0.089,0.089,0.089,0.091,0.092,0.092,0.093,0.095,0.095,0.1,0.2,0.2,0.2,0.2,0.228,0.243,0.263,0.271,0.308,0.319,0.318,0.32,0.322,0.325
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroelectricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,0.056,0.059,0.062,0.068,0.071,0.072,0.081,0.085,0.086,0.088,0.089,0.089,0.089,0.089,0.091,0.092,0.092,0.093,0.095,0.095,0.1,0.2,0.2,0.2,0.2,0.228,0.243,0.263,0.271,0.308,0.319,0.318,0.32,0.322,0.325
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,37,36,36,35,38,37,39,42,42,40,37,40,45,48,50,55,58,63,68,70,73,75,72,79,84,88.61302,97.92409,100.37261,103.75082,104.1911,111.0751,106.489,110.699,110.1194,115.73864
Generation,Billion Kwh,42,40,41,42,44,44,47,50,49,48,46,49,53,59,60,65,67,70,71,77,85,86,81,88,96,100.69202,111.27409,110.6831,114.54182,116.0151,119.2921,115.523,121.532,124.6574,126.17064
Nuclear,Billion Kwh,2.2,2.7,1.8,3.2,4.3,5.4,5.4,6.1,4.8,4.8,7,7.7,6.7,7.3,7.8,7.1,6.9,7.5,7.1,6.7,6,6.5,5.4,7,7.3,6.37,7.153,6.722,6.85,7.59,6.691,5.894,5.903,5.7316,5.258
Renewables,Billion Kwh,17,16,19,19,21,21,21,22,15,13,18,16,19,24,27,27,23,28,27,22,29,37,36,35,31,35.03908,40.44109,32.9241,31.7311,34.9291,35.4711,33.403,31.744,35.397,35.631
Hydroelectricity,Billion Kwh,17,16,19,18,20,20,21,22,15,13,18,16,19,24,27,27,23,28,26,21,28,37,35,33,30,33.664,37.571,30.063,30.113,33.527,33.251,31.248,28.992,32.446,32.105
Non-Hydroelectric Renewables,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.1,1.3,1.37508,2.87009,2.8611,1.6181,1.4021,2.2201,2.155,2.752,2.951,3.526
Geothermal,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,,,,,,,,,,,,,,,,,0.01,0.015,0.033,0.035,0.035,0.049,0.073,0.078,0.072,0.075,0.07,0.061,0.042,0.036,0.025,0.026,0.369,0.47,0.73
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,7.00E-05,8.00E-05,9.00E-05,0.0001,0.0001,0.0001,0.0001,0.002,0.008,0.015,0.016
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,7.00E-05,8.00E-05,9.00E-05,0.0001,0.0001,0.0001,0.0001,0.002,0.008,0.015,0.016
Biomass and Waste,Billion Kwh,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.5,0.5,0.7,0.6,0.9,1,1.2,1.3,2.8,2.8,1.576,1.366,2.195,2.127,2.375,2.466,2.78
Fossil Fuels,Billion Kwh,22,21,20,20,19,18,21,22,30,31,21,25,28,28,25,31,37,34,38,49,50,43,39,47,57,59.45594,63.818,71.263,76.17572,73.782,77.35,76.45,84.173,83.7258,85.49864
Hydroelectric Pumped Storage,Billion Kwh,,,,,,,-0.012,-0.05,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.048,-0.1,-0.1,-0.2,-0.044,-0.016,-0.025,-0.019,-0.057,-0.173,-0.138,-0.226,-0.215,-0.286,-0.22,-0.224,-0.288,-0.197,-0.217
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,6.4,3.7,3.3,2.9,3.5,4.3,3.7,3.9,3.7,3.7,3.4,3.7,4.2,4.16382,4.43884,4.776465,4.55743,4.48976,4.63072,4.989,5.043,5.19162,5.11666
Generation,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,8.6,6.1,5.5,5,5.8,5.7,5.8,5.6,5.6,5.6,5.2,5.2,5.9,5.97832,5.61744,5.584465,5.46643,5.37776,6.17572,7.071,7.622,7.30562,7.33366
Nuclear,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,2.1,1.4,1.4,2.1,1.8,2,2.1,1.8,2.2,2.504,2.422,2.34783,2.266,2.29,2.287,2.357,2.124,2.168,2.266
Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,3,4.2,3.5,1.9,1.6,1.4,1.5,1.2,1.2,1,1.6,2,2,1.756,1.808,1.836975,1.78103,2.003,2.537,2.467,2.303,2.155,1.976
Hydroelectricity,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,3,4.2,3.5,1.9,1.6,1.4,1.5,1.2,1.2,1,1.6,2,2,1.755,1.807,1.833975,1.77903,1.999,2.53,2.464,2.299,2.151,1.972
Non-Hydroelectric Renewables,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004
Geothermal,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,0.001,0.001,0.003,0.002,0.004,0.007,0.003,0.004,0.004,0.004
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,5.6,1.9,2,3.1,2.2,2.9,2.9,2.3,2.5,2.6,1.5,1.4,1.7,1.71832,1.38744,1.39966,1.4194,1.08476,1.35172,2.247,3.195,2.98262,3.09166
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,--,--,--,--,--,--,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.79515,0.79422,0.8184,0.79887,0.83607,0.92442,0.90954,0.87234,0.837,0.84165
Generation,Billion Kwh,--,--,--,--,--,--,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.855,0.854,0.88,0.859,0.899,0.994,0.978,0.938,0.9,0.905
Nuclear,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.16,0.16,0.16,0.16,0.16
Hydroelectricity,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hydroelectric Renewables,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.16,0.16,0.16,0.16,0.16
Geothermal,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.16,0.16,0.16,0.16,0.16
"Solar, Tide, Wave, Fuel Cell",Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tide, Wave, Fuel Cell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tide and Wave,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass and Waste,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels,Billion Kwh,--,--,--,--,--,--,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.855,0.854,0.88,0.859,0.869,0.834,0.818,0.778,0.74,0.745
Hydroelectric Pumped Storage,Billion Kwh,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption,Billion Kwh,78,82,88,90,96,100,107,112,121,128,135,138,140,144,148,152,157,162,172,176,183,193,200,201,205,200.1223,204.10784,214.81198,214.64606,220.026,222.117,222.842,222.892,222.85234,223.51364
Generation,Billion Kwh,87,93,97,98,104,110,116,122,131,139,146,148,151,155,158,164,168,173,185,192,198,212,215,214,223,215.4743,219.80684,229.42998,229.45706,234.692,238.482,239.386,237.453,236.18234,235.37964
Nuclear,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renewables,Billion Kwh,13,14,14,12,12,14,15,14,14,15,15,16,16,17,17,16,17,18,17,18,17,18,18,19,19,19.935,21.458,20.905,19.613,18.459,21.476,25.634,26.456,32.732,36.824
Hydroelectricity,Billion Kwh,13,14,13,12,12,14,14,13,13,14,14,16,15,16,16,16,16,17,16,17,16,16,16,16,16,15.156,15.767,14.196,11.79,11.684,13.366,16.588,13.886,17.989,18.202
